,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
4745,85264985574,Dell,Intel Celeron,11.6 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,128 gb,SSD,Touchscreen,Used,"“Used Very Good - This product is in very good cosmetic condition and although there may be some ...  Read moreabout the seller notes“Used Very Good - This product is in very good cosmetic condition and although there may be some light signs of use, the item has been fully tested and is in excellent working order” Read Lessabout the seller notes ",$99.00 
4747,85264985576,HP,AMD Ryzen 7,14 in,Silver,16 GB,1 tb,AMD,1.9 GHz,Notebook/Laptop,1920 x 1080,hp,Pop OS,1 tb,SSD,"Bluetooth,  Wifi",Certified,“Factory Refurbished / A+ GRADE / SEALED IN BOX / 2 YEAR eBay ALLSTATE WARRANTY / Certified ...  Read moreabout the seller notes“Factory Refurbished / A+ GRADE / SEALED IN BOX / 2 YEAR eBay ALLSTATE WARRANTY / Certified Refurbished.” Read Lessabout the seller notes ,$538.99 
4748,85264985577,HP,Intel Core i5 8th Gen.,14 in,Silver,32 GB,500 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,500 gb,SSD,Wi-Fi,Very Good,No note from seller,$289.99 
4753,85264985582,Lenovo,Qualcomm Snapdragon 8cx Gen 3 SC8280XP,13.3 in,Black,16 GB,512 gb,Qualcomm,3.00 GHz,Notebook/Laptop,1920 x 1200,lenovo,windows 11 pro,512 gb,SSD,"Touchscreen, 5G, Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$529.99 
4756,85264985585,Dell,Intel Core i7 12th Gen.,16 in,Green,40 GB,1 tb,Intel,4.70 GHz,Notebook/Laptop,3072 x 1920,dell,windows 11 home,1 tb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$575.00 
4761,85264985590,Dell,Intel Core i7 11th Gen.,14 in,Gray,16 GB,256 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,256 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,"“The system is fully functional. The screen cover is in good condition. The screen is in good ...  Read moreabout the seller notes“The system is fully functional. The screen cover is in good condition. The screen is in good condition. The keyboard is in good condition. The laptop has been tested and works as intended. The bottom case is in good condition. This unit has a warranty until DEC 2024. Items in similar conditions will come. The laptop comes with Windows 11 Pro, an Intel i7-1185G7 3.00GHz processor, 16GB DDR4 RAM, 256GB M.2 NVMe SSD, a 14"" screen with 1920x1080 resolution, and Iris Xe Graphics. Comes with an AC. Please see the pictures for more information.” Read Lessabout the seller notes ",$349.99 
4763,85264985592,Lenovo,Intel Core i5 6th Gen.,14 in,Standard,12 GB,512 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 pro,512 gb,SSD,"Webcam, Bluetooth, Wi-Fi",Excellent,No note from seller,$219.99 
4764,85264985593,HP,Intel Core i3-1115G4,15.6 in,Silver,32 GB,1 tb,Intel,4.10 GHz,Notebook/Laptop,1366 x 768,hp,windows 11 home,1 tb,SSD,Touchscreen,New,No note from seller,$429.00 to $579.00
4769,85264985598,Dell,Intel Core i5 8th Gen.,12.3 in,Black,8 GB,256 gb,Intel,1.7 GHz,Notebook/Tablet,1920 x 1280,dell,windows 11 pro,256 gb,SSD,Touchscreen,Used,"“Used fully tested ,working”",$110.00 
4772,85264985601,Lenovo,Intel Core i3 4th Gen.,15.6 in,Black,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,lenovo,windows 10 pro,250 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  DVD-Drive,  Built-in Speakers",Used,No note from seller,$100.00 
4837,85264985666,Dell,Intel Core i5 11th Gen.,14 in,Black,32 GB,512 gb,Intel,2.40 GHz,Notebook,1920 x 1080,latitude,windows 11 pro,512 gb,SSD,Rugged,Excellent,“The laptop is manufacturer refurbished directly from Dell with a fully transferrable warranty.”,"$1,449.99 "
4841,85264985670,HP,Intel Core i7 10th Gen.,13.3 in,Silver,8 GB,1 tb,Intel,1.60 GHz,Notebook/Laptop,3840 x 2160,hp,windows 11 pro,1 tb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",New,No note from seller,$819.99 
4844,85264985673,Dell,Intel Core i5 1st Gen.,14.1in.,Silver/Black,4 GB,Not available,Intel,2.40 GHz,Notebook/Laptop,1280 x 800,dell,windows xp,160 gb,HDD,"10/100 LAN Card,  Built-in Microphone,  Optical Drive,  Widescreen Display,  Wi-Fi,  16:10 display",Used,"“Some scratches and signs of wear on the outside and sides/edges of the case, along with some ...  Read moreabout the seller notes“Some scratches and signs of wear on the outside and sides/edges of the case, along with some sticker residue.  Please review pictures and full description for details about the item you are purchasing.” Read Lessabout the seller notes ",$169.95 
4848,85264985677,Lenovo,AMD Ryzen 5,14 in,Black,16 GB,512 gb,AMD,2.00 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,512 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,“100% Factory Reset to Default Settings | 100% Functional | Tested by in-house Certified Technician ...  Read moreabout the seller notes“100% Factory Reset to Default Settings | 100% Functional | Tested by in-house Certified Technician | Professionally Maintained | Well Packaged | Genuine Photos | Buy with Confidence |” Read Lessabout the seller notes ,$199.00 
4849,85264985678,Dell,Intel Core i7 4th Gen.,14 in,Black,8 GB,Not available,Intel,2.70 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,8 gb,SSD,Touchscreen,Used,“unit still nice condition”,$140.00 
4851,85264985680,ASUS,Intel Celeron N,14 in,Blue,4 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,asus,windows 11 home,64 gb,eMMC,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Convertible 2-in-1 Laptop/Tablet, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$196.99 
4862,85264985691,Dell,Intel Core i7 11th Gen.,14 in,Black,16 GB,256 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,dell,Not Included,256 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi",Used,"“No Operating System Included, Includes Power Adapter. All units have been thoroughly tested - ...  Read moreabout the seller notes“No Operating System Included, Includes Power Adapter. All units have been thoroughly tested - Guaranteed to be 100% functional (Noted Discrepancies Notwithstanding). Screens are in excellent condition! Outer Case may show some minor scratches/scuffs from normal use. 62%-100% Battery Capacity.” Read Lessabout the seller notes ",$449.95 
4866,85264985695,Lenovo,MediaTek Helio P60T,10.1 in,Gray,4 GB,128 gb,Integrated,2.00 GHz,Chromebook,1920 x 1200,not available,Chrome OS,128 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Not Available,No note from seller,$115.00 
4867,85264985696,Lenovo,Intel Core i5 10th Gen.,15.6 in,Unknown,8 GB,512 gb,NVIDIA,2.50 GHz,Notebook/Laptop,1920 x 1080,yoga,windows 10,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,"$1,012.28 "
4871,85264985700,HP,Intel Core i7 8th Gen.,14,Unknown,16 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,1920 x 1080,elitebook,windows 11 pro,Not available,NVMe,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",Used,"“Seller Refurbished Fully tested and 100% Operational Signs of cosmetic wear and tear on the ...  Read moreabout the seller notes“Seller Refurbished Fully tested and 100% Operational Signs of cosmetic wear and tear on the exterior 100% Dust Free Item has been professionally refurbished, tested, inspected and cleaned to very good condition. Appearance: Some signs of use such as light body scratches. The item may come in generic packing with new or original accessories. Functionality: Fully functional. Warranty: three months warranty provided by seller. Clean copy of windows has installed PHOTOS FOR ILLUSTRATIVE PURPOSES ONLY” Read Lessabout the seller notes ",$283.73 
4877,85264985706,HP,Intel Core i5 8th Gen.,14 in,Silver,16 GB,256 gb,Intel,1.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10,256 gb,SSD,"Backlit Keyboard,  Built-in Webcam,  Wi-Fi",Used,No note from seller,$189.99 
4883,85264985712,Microsoft,Intel Core i5 7th Gen.,12.3 in,Silver,8 GB,256 gb,Intel,2.60 GHz,Laptop/Tablet,2736 x 1824,microsoft,windows 10,256 gb,SSD,"Bluetooth, Built-In Webcam, Wi-Fi, Multi-Touch Trackpad, Touch Screen, Backlit Keyboard, 3d Camera, Touch Idaho, Built-in Microphone",Not Available,No note from seller,$299.00 
4889,85264985718,Microsoft,Intel Core i3 10th Gen.,12.3 in,Silver,4 GB,128 gb,Intel,1.20 GHz,Notebook/Laptop,2736 x 1824,microsoft,windows 11 home,128 gb,SSD,"Bluetooth,  Touchscreen,  Wi-Fi",For parts,No note from seller,$150.00 
4891,85264985720,Dell,Intel Core i5 7th Gen.,15.6 in,Black/Red,8 GB,256 gb,NVIDIA,2.50 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 home,1 tb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,No note from seller,$450.00 
4892,85264985721,Dell,Intel Core i7 3rd Gen.,15.6 in,Unknown,16 GB,512 gb,NVIDIA,2.70 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,512 gb,HDD,"Built-in Microphone,  Built-in Webcam",Used,No note from seller,$199.00 
4899,85264985728,Dell,Intel Core i7 8th Gen.,14 in,Black,16 GB,512 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,512 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$169.00 
4900,85264985729,HP,Intel Core i5 12th Gen.,16 in,Silver,16 GB,256 gb,Intel,4.40 GHz,Notebook/Laptop,1920 x 1200,hp,windows 11 pro,256 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$816.18 
4901,85264985730,Acer,Intel Celeron,12 in,Black,4 GB,32 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 912,samsung,Chrome OS,32 gb,SSD,"Touchscreen, Wi-Fi, Bluetooth, Built-in Webcam",Not Available,No note from seller,$375.36 
4906,85264985735,Lenovo,Intel Core i7 12th Gen.,14 in,Gray,8 GB,512 gb,Intel,1.70 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Touch ID, Built-in Microphone",Not Available,No note from seller,"$1,019.20 "
4917,85264985746,HP,AMD 3015Ce,14 in,Silver,4 GB,64 gb,AMD,2.3GHz,Chromebook,1366 x 768,not available,Chrome OS,64 gb,eMMC,Bluetooth,Used,“Chromebook is in great condition. Includes Asus type C 45 watts charger.”,$89.99 
5021,85264985850,Dell,Intel Core i7 6th Gen.,15.6 in,Silver,16 GB,512 gb,NVIDIA,2.70 GHz,Notebook/Laptop,3840 x 2160,precision,windows 10 pro,512 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$329.00 
5022,85264985851,Microsoft,Intel Core i7 6th Gen.,13.5 in,Silver,16 GB,512 gb,NVIDIA,2.60 GHz,Notebook/Laptop,3000 x 2000,microsoft,windows 10 pro,512 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",Not Available,No note from seller,$250.00 
5025,85264985854,Dell,Intel Core i7 11th Gen.,15.6 in,Silver,16 GB,256 gb,Intel,2.80 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,256 gb,SSD,Wi-Fi,Excellent,"“The laptop is ""Refurbished like new"" directly from Dell with a fully transferrable warranty. ...  Read moreabout the seller notes“The laptop is ""Refurbished like new"" directly from Dell with a fully transferrable warranty. According to BIOS the laptop was manufactured on 6-16-2022.” Read Lessabout the seller notes ","$1,049.99 "
5028,85264985857,Gateway,Intel Pentium Silver,15.6 in,Blue,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1920 x 1080,gateway,windows 10 home,128 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Multi-Touch Trackpad, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Not Available,No note from seller,$148.00 
5029,85264985858,Microsoft,Intel Core i7 7th Gen.,13.5 in,Silver,8 GB,256 gb,Intel,2.50 GHz,Notebook/Laptop,2256 x 1504,microsoft,windows 10,256 gb,SSD,"Bluetooth, Wi-Fi, Built-in Webcam, Touchscreen, Backlit Keyboard",Not Available,No note from seller,$199.99 
5044,85264985873,HP,Intel Core i5 6th Gen.,14 in,Silver,8 GB,240 gb,Intel,2.30 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,240 gb,SSD,Bluetooth,Not Available,No note from seller,$24.99 
5045,85264985874,Lenovo T440,Intel Core i5-4300M CPU @ 1.90 GHz,14 inch,Black,8 GB,256 gb,Intel,1.90 GHz,Notebook/Laptop,1600 x 900,lenovo,windows 11 pro,256 gb,SSD,"Built-in Webcam,  Wi-Fi",Used,"“Fair to Good condition. This is a used laptop. Except for some minor wear and tear, its full ...  Read moreabout the seller notes“Fair to Good condition. This is a used laptop. Except for some minor wear and tear, its full functioning as they should be. Backlit Keyboard. It comes with  8GB RAM Memory 256GB SSD Hard Drive, Windows 11 Pro Office Pro.Adobe  Web Cam WiFi Complete with battery and charger. Ready to Use. NOTE: No Built-in Optical DVD Drive” Read Lessabout the seller notes ",$119.00 
5048,85264985877,Acer,Intel Celeron N,11.6 in,Black,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1024 x 480,chromebook,Chrome OS,16 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi",Good,No note from seller,$48.99 
5054,85264985883,Acer,Intel Core i3 11th Gen.,17.3 in,Gray,8 GB,256 gb,Intel,3.00 GHz,Notebook/Laptop,1600 x 900,acer,windows 11 home,256 gb,SSD,Bluetooth,New,No note from seller,$399.00 
5062,85264985891,Dell,Intel Core i5 11th Gen.,14 in,Black,8 GB,256 gb,Intel,2.40 GHz,Notebook,1920 x 1080,latitude,windows 11 pro,256 gb,SSD,Rugged,Very Good,“There are minor blemishes on the base of the laptop. The laptop is manufacturer refurbished ...  Read moreabout the seller notes“There are minor blemishes on the base of the laptop. The laptop is manufacturer refurbished directly from Dell with a fully transferrable warranty.” Read Lessabout the seller notes ,"$1,249.99 "
5075,85264985904,HP,Intel i7 Quad-Core,15.6 in FHD,Gray,32 GB,1 tb,NVIDIA,2.8 GHz,Laptop,1920 x 1080,hp,windows 10 pro,2 tb,HDD/SSD,"10/100/1000 Giga LAN Card,  HDMI(Through DP-to-HDMI adapter),  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam",Used,"“This is for a very nice professional Workstation series HP EliteBook ZBook 15 with options alike ...  Read moreabout the seller notes“This is for a very nice professional Workstation series HP EliteBook ZBook 15 with options alike Built-in Bluetooth 4, Fingerprint device, Webcam, 2x fast USB 3.0 ports and high resolution 15.6"" FHD 1920x1080 LED Display. It comes with a powerful Intel Core-i7 4800QM Quad-Core 4x2.70GHz-3.70GHz processor, Fast advanced 3D graphics featuring nVIDIA Quadro K1100M graphics engine with 2GB (2048MB) of dedicated graphics memory for demanding tasks such as, video editing, animation and CAD manipulation. It also comes with new Combo Blu-Ray Player-Burner BD-RE & DVDRW, TWO Built-in hard drives!!1-Expensive Ultra Fast 1TB (1024GB) mSATA SSD hard drive and 2- New huge 2TB (2000GB)  HDD hard drive, new massive 32GB fast DDR3 memory. The laptop is overall in good shape without any defect or functioning problem. (All photos are from stocks). It comes with a free DP-to-HDMI converter. (All photos are from stocks)” Read Lessabout the seller notes ",$834.51 
5076,85264985905,HP,Intel i7 8th Gen,15.6,Silver,32 GB,512 gb,Intel,1.9 GHz,Notebook,1920 x 1080,hp,windows 11 pro,512 gb,SSD,1080p FHD,Used,“Refurbished - Laptop will have some cosmetic blemishes that include scratches and/or other surface ...  Read moreabout the seller notes“Refurbished - Laptop will have some cosmetic blemishes that include scratches and/or other surface imperfections. Some laptops may exhibit shiny keys on the keyboard and/or shiny surfaces around the keyboard. The LCD will have minor blemishes such as minor white spots or a small hairline scratch. Laptop may be missing a rubber foot.” Read Lessabout the seller notes ,$449.99 
5102,85264985931,Dell,Intel Core i7 8th Gen.,14 in,Black,16 GB,512 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,512 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$169.00 
5106,85264985935,Lenovo,Intel Core i7 10th Gen.,14 in,Gray,8 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 10 pro,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,No note from seller,$280.00 
5108,85264985937,HP,i7-1165G7,15.6 in,Silver,16 GB,512 gb,Intel,2.80 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Optane Memory",Used,“item is in excellent cosmetic condition. all features and functions work as intended. original HP ...  Read moreabout the seller notes“item is in excellent cosmetic condition. all features and functions work as intended. original HP OEM charger included. Fully patched and all drivers and firmware updated.” Read Lessabout the seller notes ,$389.00 
